what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1360874782135
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1360874784119
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1360874789427
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360874791851
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360874814473
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1360874815874
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1360874817396
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360874824189
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360874825451
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360874826088
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360874836929
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1360874837938
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360874840941
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1360874841442
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360874843758
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1360874843849
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1360874843890
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360874845189
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360874853804
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1360874856126
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1360874858250
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1360874859438
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360874860330
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360874860489
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1360874862697
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1360874863764
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1360874864156
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1360874865063
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360874865485
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360874865680
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1360874867384
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360874868365
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360874868550
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1360874869458
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1360874870930
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1360874871782
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1360874872700
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360874873389
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360874873571
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1360874875824
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1360874876043
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360874877104
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360874877289
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1360874878289
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1360874882336
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360874883004
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360874883175
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1360874885171
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360874888154
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360874888263
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1360874889898
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1360874894897
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1360874896395
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360874901029
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360874901124
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1360874902421
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1360874904286
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1360874904286
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360874912979
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360875030974
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1360875032551
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360875037609
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360875067184
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1360875069608
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1360875070452
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1360875076125
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360875076786
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360875077166
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360875077226
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360875079719
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360875079872
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360875084120
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1360875085586
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360875089024
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360875089480
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1360875090295
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1360875090295
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1360875091694
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1360875095992
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1360875096021
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1360875097695
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1360875099777
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360875103834
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360875114179
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1360875117626
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360875119790
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360875119972
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360875120020
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360875122546
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360875122752
error,log,,,"Invalid preference page path: Web Page Editor",1360875136891
started,bundle,org.eclipse.jst.servlet.ui,1.1.501.v201108220630,"org.eclipse.jst.servlet.ui",1360875145853
started,bundle,org.eclipse.jst.j2ee.web,1.1.501.v201108231500,"org.eclipse.jst.j2ee.web",1360875145877
