what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1360874050643
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1360874050643
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360874051730
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360874051851
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1360874051985
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1360874052008
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1360874064040
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360874065758
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360874069898
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360874070866
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360874075862
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360874080271
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360874084433
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1360874101338
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1360874101338
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1360874101355
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1360874101381
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360874111790
